# Datetime (UTC)	T (°C)	P (hPa)	Humidity (%)
2020-01-01T00:00:00	-4.7	1000.2	77.2
2020-01-01T00:10:00	-4.3	1000.2	76.0
2020-01-01T00:20:00	-4.2	1000.1	76.3
2020-01-01T00:30:00	-4.2	1000.0	77.1
2020-01-01T00:40:00	-4.2	1000.1	77.5
2020-01-01T00:50:00	-4.1	1000.1	77.8
2020-01-01T01:00:00	-4.1	1000.1	78.2
2020-01-01T01:10:00	-4.2	999.9	78.8
2020-01-01T01:20:00	-4.2	999.9	80.0
2020-01-01T01:30:00	-4.2	999.8	80.4
2020-01-01T01:40:00	-4.3	999.8	81.6
2020-01-01T01:50:00	-4.3	999.8	82.4
2020-01-01T02:00:00	-4.3	999.8	82.9
2020-01-01T02:10:00	-4.2	999.8	83.2
2020-01-01T02:20:00	-4.1	999.8	83.5
2020-01-01T02:30:00	-4.0	999.8	83.7
2020-01-01T02:40:00	-4.0	999.9	83.7
2020-01-01T02:50:00	-3.9	999.8	83.9
2020-01-01T03:00:00	-4.0	999.8	84.3
2020-01-01T03:10:00	-4.0	999.8	84.7
2020-01-01T03:20:00	-4.0	999.7	84.7
2020-01-01T03:30:00	-4.0	999.7	85.2
2020-01-01T03:40:00	-3.9	999.8	85.4
2020-01-01T03:50:00	-3.9	999.8	85.8
2020-01-01T04:00:00	-3.9	999.7	85.9
2020-01-01T04:10:00	-3.9	999.7	86.4
2020-01-01T04:20:00	-3.8	999.6	86.8
2020-01-01T04:30:00	-3.7	999.7	86.9
2020-01-01T04:40:00	-3.8	999.4	87.1
2020-01-01T04:50:00	-3.8	999.5	87.3
2020-01-01T05:00:00	-4.1	999.5	87.6
2020-01-01T05:10:00	-4.5	999.5	88.1
2020-01-01T05:20:00	-4.2	999.5	88.9
2020-01-01T05:30:00	-3.7	999.4	89.3
2020-01-01T05:40:00	-3.4	999.4	89.0
2020-01-01T05:50:00	-3.1	999.4	88.5
2020-01-01T06:00:00	-2.8	999.4	88.3
2020-01-01T06:10:00	-2.6	999.4	88.0
2020-01-01T06:20:00	-2.3	999.4	88.0
2020-01-01T06:30:00	-2.1	999.5	87.5
2020-01-01T06:40:00	-1.9	999.4	86.7
2020-01-01T06:50:00	-1.9	999.3	86.4
2020-01-01T07:00:00	-1.8	999.4	86.7
2020-01-01T07:10:00	-1.8	999.3	86.6
2020-01-01T07:20:00	-1.8	999.3	86.6
2020-01-01T07:30:00	-1.8	999.3	86.8
2020-01-01T07:40:00	-1.8	999.5	86.9
2020-01-01T07:50:00	-1.7	999.7	86.7
2020-01-01T08:00:00	-1.8	999.9	86.8
2020-01-01T08:10:00	-1.7	999.9	87.0
2020-01-01T08:20:00	-1.7	1000.1	87.3
